phase,step_name,duration_seconds,start_time,end_time,files_processed
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/traffic_volume.sql,1.220469,2024-03-28 09:00:42.369318,2024-03-28 09:00:43.589787,1
production,create_postgis_projected_tables,0.442841,2024-03-28 09:00:43.589817,2024-03-28 09:00:44.032658,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/create_postgis_proj_tbl.sql,1.705177,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074495,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/gta_traffic_arcgis.sql,1.705189,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074507,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/monthly_air_data.sql,1.70519,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074508,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/monthly_air_data_transposed.sql,1.705193,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074511,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/geo_names.sql,1.705194,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074512,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/traffic_volume.sql,1.705195,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074513,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/gta_traffic_arcgis.sql,1.705197,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074515,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/monthly_air_data.sql,1.705197,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074515,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/fact_monthly_forecasts.sql,1.705198,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074516,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/monthly_air_data_transposed.sql,1.705199,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074517,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/geo_names.sql,1.7052,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074518,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/traffic_volume.sql,1.705201,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074519,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/monthly_air_data.sql,1.705202,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074520,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/fact_monthly_forecasts.sql,1.705203,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074521,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/monthly_air_data_transposed.sql,1.705204,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074522,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/geo_names.sql,1.705205,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074523,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/traffic_volume.sql,1.705206,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074524,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/fact_monthly_forecasts.sql,1.705206,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074524,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/monthly_air_data_transposed.sql,1.705207,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074525,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/geo_names.sql,1.705208,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074526,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/traffic_volume.sql,1.705209,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074527,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/monthly_air_data_transposed.sql,1.70521,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074528,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/geo_names.sql,1.705211,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074529,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/traffic_volume.sql,1.705212,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074530,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/geo_names.sql,1.705213,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074531,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/traffic_volume.sql,1.705213,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074531,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/traffic_volume.sql,1.705214,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074532,1
production,/Users/amr/PycharmProjects/ggr_472_project/SQL/combine_air_data.sql,1.705215,2024-03-28 09:00:42.369318,2024-03-28 09:00:44.074533,1
production,create_production_tables,40.01161,2024-03-28 09:00:13.512972,2024-03-28 09:00:53.524582,30
stage,extract_monthly_data,16.971009,2024-03-28 08:55:23.329714,2024-03-28 08:55:40.300723,25
stage,extract_monthly_forecasts,210.628629,2024-03-28 08:55:40.300866,2024-03-28 08:59:10.929495,533
stage,extract_traffic_volume,5.907375,2024-03-28 08:59:10.929639,2024-03-28 08:59:16.837014,1
stage,extract_geo_names_data,26.613793,2024-03-28 08:59:16.841490,2024-03-28 08:59:43.455283,2
stage,extract_gta_traffic_arcgis,1.711956,2024-03-28 08:59:43.481746,2024-03-28 08:59:45.193702,1
