phase,step_name,duration_seconds,start_time,end_time,files_processed
stage,extract_monthly_data,26.364457,54:42.7,55:09.0,26
stage,extract_monthly_forecasts,250.880039,55:09.0,59:19.9,534
stage,extract_traffic_volumes,4.817127,59:19.9,59:24.7,1
stage,extract_geo_names_data,19.486734,59:24.7,59:44.2,2
stage,extract_gta_traffic_arcgis,0.150329,59:44.2,59:44.4,1
stage,transform_monthly_data,20.887099,59:44.4,00:05.3,1
production,/Users/amr/PycharmProjects/ggr473/SQL/traffic_volume.sql,0.029146,00:05.3,00:05.3,1
production,/Users/amr/PycharmProjects/ggr473/SQL/gta_traffic_arcgis.sql,0.007847,00:05.3,00:05.3,1
production,/Users/amr/PycharmProjects/ggr473/SQL/monthly_air_data.sql,0.078183,00:05.3,00:05.4,1
production,/Users/amr/PycharmProjects/ggr473/SQL/fact_monthly_forecasts.sql,0.128642,00:05.4,00:05.5,1
production,/Users/amr/PycharmProjects/ggr473/SQL/monthly_air_data_transposed.sql,0.513474,00:05.5,00:06.1,1
production,/Users/amr/PycharmProjects/ggr473/SQL/geo_names.sql,1.857575,00:06.1,00:07.9,1
production,/Users/amr/PycharmProjects/ggr473/SQL/traffic_volume.sql,0.038171,00:07.9,00:07.9,1
production,/Users/amr/PycharmProjects/ggr473/SQL/monthly_air_data.sql,0.052276,00:07.9,00:08.0,1
production,/Users/amr/PycharmProjects/ggr473/SQL/fact_monthly_forecasts.sql,0.183993,00:08.0,00:08.2,1
production,/Users/amr/PycharmProjects/ggr473/SQL/monthly_air_data_transposed.sql,0.502751,00:08.2,00:08.7,1
production,/Users/amr/PycharmProjects/ggr473/SQL/geo_names.sql,1.993945,00:08.7,00:10.7,1
production,/Users/amr/PycharmProjects/ggr473/SQL/traffic_volume.sql,0.049073,00:10.7,00:10.7,1
production,/Users/amr/PycharmProjects/ggr473/SQL/fact_monthly_forecasts.sql,0.120606,00:10.7,00:10.9,1
production,/Users/amr/PycharmProjects/ggr473/SQL/monthly_air_data_transposed.sql,0.483927,00:10.9,00:11.3,1
production,/Users/amr/PycharmProjects/ggr473/SQL/geo_names.sql,1.750616,00:11.3,00:13.1,1
production,/Users/amr/PycharmProjects/ggr473/SQL/traffic_volume.sql,0.048926,00:13.1,00:13.1,1
production,/Users/amr/PycharmProjects/ggr473/SQL/monthly_air_data_transposed.sql,0.485725,00:13.1,00:13.6,1
production,/Users/amr/PycharmProjects/ggr473/SQL/geo_names.sql,1.780871,00:13.6,00:15.4,1
production,/Users/amr/PycharmProjects/ggr473/SQL/traffic_volume.sql,0.030665,00:15.4,00:15.4,1
production,/Users/amr/PycharmProjects/ggr473/SQL/geo_names.sql,1.799691,00:15.4,00:17.2,1
production,/Users/amr/PycharmProjects/ggr473/SQL/traffic_volume.sql,0.049959,00:17.2,00:17.3,1
production,/Users/amr/PycharmProjects/ggr473/SQL/traffic_volume.sql,0.010158,00:17.3,00:17.3,1
production,/Users/amr/PycharmProjects/ggr473/SQL/combine_air_data.sql,0.332735,00:17.3,00:17.6,1
production,create_production_tables,00:05.3,00:17.6,23,1
