"_id","location_id","location","lng","lat","centreline_type","centreline_id","px","latest_count_date"
1,1146,"ELLESMERE RD AT PARKINGTON CRES",-79.2462539208032,43.7733187721774,2,13446642,2296,"2022-12-17"
2,1981,"YORK MILLS RD E/B & W/B TO DON VALLEY PKWY N/B",-79.3346582205215,43.7573358897393,1,440171,NA,"2004-04-08"
3,3468,"PARKSIDE DR N/B S OF SPRING RD",-79.4544420811711,43.6405124953295,1,30010748,NA,"2021-12-15"
4,3925,"RIPLEY AVE AT SOUTH KINGSWAY",-79.4752735067663,43.6367801228756,2,13468657,NA,"2022-01-27"
5,3926,"BLOOR ST AT SOUTH KINGSWAY & RIVERVIEW GARDENS (PX 334)",-79.485752005821,43.6483120026845,2,13467247,334,"2022-05-10"
6,3927,"LAKE SHORE BLVD AT LESLIE ST (PX 206)",-79.3284359942956,43.6592350040891,2,13465121,206,"2013-05-27"
7,3928,"BRITISH COLUMBIA RD AT LAKE SHORE BLVD (PX 1344)",-79.4291809988533,43.6314309959933,2,13469154,1344,"2018-01-24"
8,3929,"JAMESON AVE AT LAKE SHORE BLVD W/B (PX 224)",-79.4345630018803,43.6333410037216,2,13468970,224,"2017-10-03"
9,3930,"LAKE SHORE BLVD AT ONTARIO DR & REMEMBRANCE DR (PX 930)",-79.4197830044259,43.6304250031894,2,13469216,930,"2018-01-24"
10,3931,"LAKE SHORE BLVD AT STRACHAN AVE (PX 222)",-79.4087449965524,43.6344420021858,2,13468803,222,"2018-01-24"
11,3932,"BASTION ST AT FLEET ST AND LAKE SHORE BLVD W (PX 299)",-79.4035489951616,43.6359130003157,2,20054541,299,"2011-05-26"
12,3933,"LAKE SHORE BLVD W AT REES ST",-79.3870364047341,43.6399281898813,2,13468195,1408,"2018-04-04"
13,3934,"LAKE SHORE BLVD W AT LONG BRANCH AVE (PX 240)",-79.5340159965817,43.5943610013999,2,13470639,240,"2020-02-25"
14,3935,"AVENUE RD AT LONSDALE RD (PX 113)",-79.4030170045103,43.6907820016224,2,13459836,113,"2016-04-16"
15,3936,"LAKE SHORE BLVD AT LEGION RD (PX 1994)",-79.4832669971345,43.6205110006419,2,13469793,1994,"2020-07-28"
16,3937,"CHRISTIE COOKIES ACCESS AT LAKE SHORE BLVD E OF PARKLAWN(PX 1784)",-79.4802629935068,43.6246740129865,1,30070015,NA,"2016-10-06"
17,3938,"DON VALLEY PKWY AT WYNFORD DR WTCS (PX 1037)",-79.3308889961383,43.726666996727,2,13453914,1037,"2010-08-16"
18,3939,"BLACK CREEK DR AT EGLINTON AVE W (PX 1422)",-79.4828779988047,43.688367998834,2,13460466,1422,"2020-11-04"
19,3940,"BLACK CREEK DR AT LAWRENCE AVE W (PX 1348)",-79.494096001504,43.7049499965318,2,13457600,1348,"2023-05-24"
20,3941,"FOUR OAKS GT AT O CONNOR DR (PX 1923)",-79.3342229973016,43.696750000693,2,13458523,1923,"2021-11-04"
21,3942,"NORTHRIDGE AVE AT O CONNOR DR",-79.3338056609212,43.6968201717913,2,13458504,NA,"2007-11-05"
22,3943,"OCONNOR DR AT ST CLAIR AVE (PX 447)",-79.3128359943946,43.7053959980044,2,13457092,447,"2021-10-14"
23,3944,"O CONNOR DR AT WAKUNDA PL",-79.3049393728993,43.715986751828,2,13455374,NA,"2018-10-31"
24,3946,"BIRCHCLIFF AVE AT KINGSTON RD",-79.2647519888062,43.691479544549,2,13459344,155,"2021-03-17"
25,3947,"KINGSTON RD AT SANDOWN AVE",-79.2497691686238,43.7087767552253,2,13456405,152,"2022-06-01"
26,3948,"KINGSTON RD AT MIDLAND AVE",-79.2481872869113,43.7111210897436,2,13456025,151,"2022-06-01"
27,3949,"CHINE DR AT KINGSTON RD",-79.245073031382,43.7141140181145,2,13455525,1025,"2022-06-01"
28,3950,"KINGSTON RD AT BROOKLAWN AVE & ST CLAIR AVE E (PX 150)",-79.2360189952118,43.7220320020003,2,13454337,150,"2022-06-01"
29,3951,"BELLAMY RD S AT KINGSTON RD & RAVINE DR (PX 1027)",-79.2245689939618,43.7320600037298,2,13452797,1027,"2022-06-01"
30,3952,"KINGSTON RD AT SCARBOROUGH GOLF CLUB RD (PX 1053)",-79.2093489960157,43.7460020040789,2,13450532,1053,"2022-06-01"
31,3953,"KINGSTON RD AT LAWRENCE AVE E",-79.1896094920962,43.7676530188982,2,13447347,144,"2020-09-26"
32,3954,"CELESTE DR AT KINGSTON RD",-79.199299023385,43.7570394928081,2,13448888,1193,"2009-12-01"
33,3955,"COLLINSGROVE RD AT KINGSTON RD",-79.1850331055118,43.7726078465985,2,13446613,NA,"2022-08-30"
34,3956,"KINGSTON RD AT BROOKSIDE DR & WAVERLEY RD",-79.3040883492625,43.6769410033088,2,13462091,161,"2015-11-11"
35,3957,"KINGSTON RD AT MAIN ST & SOUTHWOOD DR",-79.2979958040382,43.6788949542251,2,13461728,160,"2017-04-22"
36,3958,"HIGHWAY 2A AT KINGSTON RD & HIGHWAY 401 EB OFF RAMP (PX 1202)",-79.1525300006248,43.7948870036618,2,13503044,1202,"2018-05-26"
37,3959,"MILLWICK DR AT MILVAN DR (PX 1558)",-79.5660649995394,43.760586000452,2,13449110,1558,"2012-02-14"
38,3960,"BELMONT ST AT DAVENPORT RD & NEW ST (PX 541)",-79.3929230000772,43.6747090030653,2,13462718,541,"2020-02-11"
39,3961,"SENECA AVE AT WESTON RD",-79.4754867102106,43.6803453625501,2,13461911,NA,"1998-11-26"
